# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
ENSG00000257202.1	AC084398.2	lncRNA	0	14	27	0.0000	0.0000	0.0000
ENSG00000257207.5	AC112229.3	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000257210.1	NACAP8	processed_pseudogene	1	0	1	0.1537	0.0441	0.0436
ENSG00000257218.6	GATC	protein_coding	1974	5423	5290	33.0469	9.4851	9.3814
ENSG00000257219.6	LNCOG	lncRNA	33	19	14	1.1573	0.3322	0.3285
ENSG00000257220.1	PRXL2AP1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257221.4	AC007569.1	lncRNA	8	3	5	0.2795	0.0802	0.0793
ENSG00000257222.1	AC079907.1	lncRNA	5	125	145	0.9883	0.2837	0.2806
ENSG00000257224.1	CR383656.2	transcribed_processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257225.1	AC079601.1	lncRNA	4	250	242	0.1060	0.0304	0.0301
ENSG00000257226.2	AC079584.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257228.5	AC090531.1	lncRNA	2	2	0	0.1161	0.0333	0.0329
ENSG00000257230.1	LINC02448	lncRNA	1	1	0	0.1268	0.0364	0.0360
ENSG00000257231.1	DYNLL1P4	processed_pseudogene	1	0	1	0.2779	0.0798	0.0789
ENSG00000257235.1	AC078814.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257237.1	AC018448.1	unprocessed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257239.1	AC090630.1	lncRNA	15	5	10	2.2223	0.6378	0.6309
ENSG00000257241.1	AC078922.1	lncRNA	1	1	0	0.1703	0.0489	0.0484
ENSG00000257242.8	LINC01619	lncRNA	45	28	17	0.6883	0.1976	0.1954
ENSG00000257243.1	AC020612.1	processed_pseudogene	8	4	4	1.0932	0.3138	0.3103
ENSG00000257246.1	PHBP19	processed_pseudogene	3	3	0	0.2941	0.0844	0.0835
ENSG00000257252.6	AC124947.1	lncRNA	2	1	1	0.1142	0.0328	0.0324
ENSG00000257253.2	AC131157.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257254.1	AC010202.1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257256.1	AC008147.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257258.2	AC012150.1	lncRNA	7	2	5	0.4823	0.1384	0.1369
ENSG00000257259.3	LINC02388	lncRNA	14	10	4	0.2376	0.0682	0.0675
ENSG00000257261.6	AC008014.1	lncRNA	74	45	32	1.1238	0.3226	0.3190
ENSG00000257262.1	AC023511.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257264.5	AC136443.3	lncRNA	5	2	3	0.5468	0.1569	0.1552
ENSG00000257265.1	AC123905.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257267.3	ZNF271P	transcribed_unitary_pseudogene	2268	1117	1157	22.5060	6.4597	6.3891
ENSG00000257268.1	AC002375.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257270.1	AL928654.2	lncRNA	75	443	432	12.4599	3.5762	3.5371
ENSG00000257271.1	KIRREL3-AS1	lncRNA	2	2	0	0.2523	0.0724	0.0716
ENSG00000257272.1	AL162311.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257275.6	AL139020.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257277.2	AC092652.1	lncRNA	22	17	5	0.5949	0.1707	0.1689
ENSG00000257279.1	AC127164.1	lncRNA	1	67	70	0.0176	0.0051	0.0050
ENSG00000257281.1	AC009729.1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257283.1	AC012464.1	lncRNA	4	2	2	0.5476	0.1572	0.1555
ENSG00000257284.1	AC013437.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257285.6	AL132780.1	lncRNA	19	101	88	0.7791	0.2236	0.2212
ENSG00000257286.1	AC089999.1	lncRNA	0	138	153	0.0000	0.0000	0.0000
ENSG00000257287.1	H3P35	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257288.1	AC068305.1	processed_pseudogene	1	1	0	0.0614	0.0176	0.0174
ENSG00000257289.1	AC025423.5	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257292.2	AC117372.1	unprocessed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257294.2	AC080011.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257296.1	AC093027.1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257298.1	AC008147.2	lncRNA	16	11	8	0.2510	0.0720	0.0712
ENSG00000257300.1	HAUS8P1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257302.1	FAHD2P1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257303.2	AC073896.2	lncRNA	52	2817	2850	1.0048	0.2884	0.2852
ENSG00000257307.1	AL162311.2	processed_pseudogene	8	5	3	0.8342	0.2394	0.2368
ENSG00000257308.1	AC090017.1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257310.1	AL589743.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257315.3	ZBED6	protein_coding	2	2	0	0.0118	0.0034	0.0034
ENSG00000257316.1	ASS1P14	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257319.1	AC008127.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257322.6	AC138123.1	lncRNA	6	10	12	0.1522	0.0437	0.0432
ENSG00000257323.1	AC123904.2	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257325.1	AC138360.1	lncRNA	0	0	1	0.0000	0.0000	0.0000
ENSG00000257327.1	AC012555.1	lncRNA	1	8	1	0.1097	0.0315	0.0311
ENSG00000257329.1	AC011611.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257331.1	RACGAP1P1	processed_pseudogene	2	2	0	0.0787	0.0226	0.0223
ENSG00000257332.1	HNRNPA1P69	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257335.8	MGAM	protein_coding	40	44	32	0.2746	0.0788	0.0780
ENSG00000257336.1	PRELID2P1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257337.7	AC068888.1	lncRNA	271	1872	1849	2.5878	0.7427	0.7346
ENSG00000257341.5	AL928654.3	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000257342.1	AC025165.2	lncRNA	0	3084	2842	0.0000	0.0000	0.0000
ENSG00000257343.1	AC055716.1	unprocessed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257345.2	LINC02413	lncRNA	3	4	7	0.1773	0.0509	0.0503
ENSG00000257346.1	AC011603.1	lncRNA	0	0	1	0.0000	0.0000	0.0000
ENSG00000257350.1	AC027287.1	processed_pseudogene	2	1	1	0.1018	0.0292	0.0289
ENSG00000257354.2	AC048341.1	lncRNA	390	215	187	3.3167	0.9520	0.9416
ENSG00000257355.1	AC008770.1	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000257356.2	BNIP3P6	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257359.1	AC073863.1	lncRNA	0	69	88	0.0000	0.0000	0.0000
ENSG00000257360.1	AC123567.1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257364.1	VENTXP3	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257365.8	FNTB	protein_coding	714	515	469	13.9902	4.0154	3.9716
ENSG00000257366.1	AC138969.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257368.2	AC063924.1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257373.1	AC012038.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257376.1	AC079601.2	processed_pseudogene	3	0	3	0.2862	0.0821	0.0812
ENSG00000257378.1	AC025154.1	lncRNA	0	0	1	0.0000	0.0000	0.0000
ENSG00000257379.1	AC023509.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257381.3	MIR3179-2	miRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257384.1	AC009779.1	processed_pseudogene	2	1	1	0.5225	0.1500	0.1483
ENSG00000257386.1	AC025257.1	lncRNA	0	547	507	0.0000	0.0000	0.0000
ENSG00000257389.1	AC107016.1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257390.5	AC023055.1	protein_coding	1	473	455	0.0292	0.0084	0.0083
ENSG00000257391.1	AC126763.1	lncRNA	1	1	0	0.0349	0.0100	0.0099
ENSG00000257392.1	AC126177.2	unprocessed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257395.1	AL512310.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257398.8	AC126177.3	lncRNA	5	1	4	0.1176	0.0338	0.0334
ENSG00000257400.1	AC023161.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257402.2	KRT126P	unprocessed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257403.2	AC008740.1	unprocessed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257404.1	AC107016.2	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257405.1	AC079600.1	processed_pseudogene	3	1	2	0.7468	0.2143	0.2120
ENSG00000257407.1	AC009803.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257408.2	AC092375.1	transcribed_unprocessed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257410.1	AC089984.1	lncRNA	0	5	5	0.0000	0.0000	0.0000
ENSG00000257411.2	AC034102.2	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000257414.1	OR6C73P	unprocessed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257415.1	AC084364.1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257426.1	AC126177.4	unprocessed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257429.1	AC074031.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257431.1	AC089998.1	lncRNA	1	1	0	0.0235	0.0068	0.0067
ENSG00000257432.1	AL512310.3	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257433.6	AC004241.1	lncRNA	46	101	100	0.6246	0.1793	0.1773
ENSG00000257434.1	AC073525.1	lncRNA	0	14	22	0.0000	0.0000	0.0000
ENSG00000257435.1	AC087311.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257438.1	AC011595.1	lncRNA	2	1	1	0.1964	0.0564	0.0557
ENSG00000257443.1	AC068305.2	lncRNA	3	3	0	0.3996	0.1147	0.1134
ENSG00000257444.1	SETP7	processed_pseudogene	1	0	1	0.1632	0.0468	0.0463
ENSG00000257446.4	ZNF878	protein_coding	9	2	7	0.3789	0.1088	0.1076
ENSG00000257449.1	AC034102.3	lncRNA	10	6	4	2.4643	0.7073	0.6996
ENSG00000257452.1	AC004551.1	lncRNA	0	15	23	0.0000	0.0000	0.0000
ENSG00000257453.1	AC011611.3	lncRNA	3	5421	5347	0.3898	0.1119	0.1107
ENSG00000257454.1	AC025575.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257456.1	AC009320.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257458.1	AC069437.1	lncRNA	1	1	0	0.1444	0.0414	0.0410
ENSG00000257464.1	AC125611.1	processed_pseudogene	3	0	3	0.9685	0.2780	0.2749
ENSG00000257465.2	ELOCP32	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257467.6	PPFIA2-AS1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257470.2	AC007656.1	lncRNA	1	0	1	0.0604	0.0173	0.0171
ENSG00000257472.1	AL355112.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257474.5	AC027288.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257475.2	AC068888.2	lncRNA	1	0	2	0.1379	0.0396	0.0392
ENSG00000257476.1	LINC02459	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257477.1	LINC01154	lncRNA	1	0	1	0.1628	0.0467	0.0462
ENSG00000257480.1	MRPL2P1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257488.5	LINC02354	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257489.6	AC010203.1	transcribed_unprocessed_pseudogene	3	2	1	0.1579	0.0453	0.0448
ENSG00000257493.1	AL512310.4	unprocessed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257494.1	AC004217.1	lncRNA	0	12	7	0.0000	0.0000	0.0000
ENSG00000257495.5	KRT73-AS1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257496.1	AC025031.1	lncRNA	0	0	2	0.0000	0.0000	0.0000
ENSG00000257497.2	AC121761.1	lncRNA	46	28	18	2.2947	0.6586	0.6514
ENSG00000257500.1	AC055736.1	lncRNA	0	5	9	0.0000	0.0000	0.0000
ENSG00000257501.6	PAFAH1B2P2	transcribed_processed_pseudogene	3	1	2	0.0422	0.0121	0.0120
ENSG00000257503.1	CYB5AP5	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257504.1	LINC02297	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257506.1	AC133555.1	unprocessed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257507.1	LINC02373	lncRNA	3	2	1	0.5243	0.1505	0.1488
ENSG00000257509.1	AC073487.1	lncRNA	20	11	11	2.7950	0.8022	0.7935
ENSG00000257510.2	LINC02402	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257511.1	AC084824.1	processed_pseudogene	72	29	43	5.2964	1.5202	1.5035
ENSG00000257512.1	AC124947.2	transcribed_processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257513.7	NPIPB1P	transcribed_unprocessed_pseudogene	1	0	1	0.0653	0.0187	0.0185
ENSG00000257514.5	AC117505.1	lncRNA	0	1	0	0.0000	0.0000	0.0000
ENSG00000257515.1	AC011601.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257517.1	AC026765.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257519.1	AC078880.1	lncRNA	1	0	1	0.1337	0.0384	0.0380
ENSG00000257520.2	SFTA3	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000257522.7	AL133166.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257523.3	LINC02326	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257524.6	AL157935.2	protein_coding	4	4	0	0.0775	0.0222	0.0220
ENSG00000257526.2	AC107032.2	lncRNA	26	9	17	4.9796	1.4293	1.4136
ENSG00000257527.1	AC126755.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257528.1	KRT8P19	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257529.5	RPL36A-HNRNPH2	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000257530.1	AC048344.1	lncRNA	0	31	32	0.0000	0.0000	0.0000
ENSG00000257531.2	AC008147.3	transcribed_processed_pseudogene	2	2	0	0.4177	0.1199	0.1186
ENSG00000257534.1	AC023794.4	lncRNA	2	0	3	0.1961	0.0563	0.0557
ENSG00000257539.2	HSPA8P14	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257541.1	LINC02403	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257542.5	OR7E47P	transcribed_unprocessed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257543.1	AC063948.1	lncRNA	40	21	19	7.8025	2.2395	2.2150
ENSG00000257545.5	AC079385.1	lncRNA	3	86	95	0.0917	0.0263	0.0260
ENSG00000257548.1	AC078929.1	lncRNA	0	47	58	0.0000	0.0000	0.0000
ENSG00000257550.2	AC023509.2	lncRNA	0	313	364	0.0000	0.0000	0.0000
ENSG00000257551.1	HLX-AS1	lncRNA	1	12	13	0.1313	0.0377	0.0373
ENSG00000257553.1	AC034102.4	lncRNA	0	1201	1166	0.0000	0.0000	0.0000
ENSG00000257556.2	LINC02298	lncRNA	14	11	14	0.2888	0.0829	0.0820
ENSG00000257557.2	PPP1R12A-AS1	lncRNA	40	47	37	0.9144	0.2624	0.2596
ENSG00000257558.2	CR383656.3	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257563.1	AC126755.2	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257564.1	AC068993.1	processed_pseudogene	3	0	3	0.3765	0.1081	0.1069
ENSG00000257568.1	AC079035.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257569.1	GSTP1P1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257570.1	AC020612.2	processed_pseudogene	3	1	2	2.2179	0.6366	0.6296
ENSG00000257572.1	SSBL3P	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257576.1	HSPD1P4	processed_pseudogene	61	37	26	2.6496	0.7605	0.7522
ENSG00000257579.1	AC007540.1	lncRNA	0	2	2	0.0000	0.0000	0.0000
ENSG00000257580.1	AC008055.1	processed_pseudogene	2	1	1	0.2428	0.0697	0.0689
ENSG00000257582.5	LINC01475	lncRNA	0	1	0	0.0000	0.0000	0.0000
ENSG00000257585.1	LINC00609	lncRNA	31	16	17	3.9310	1.1283	1.1159
ENSG00000257586.1	AC018448.2	unprocessed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257587.1	AC136188.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257588.1	AC025154.2	lncRNA	6	3	4	0.2818	0.0809	0.0800
ENSG00000257591.6	ZNF625	protein_coding	18	10	8	0.6024	0.1729	0.1710
ENSG00000257594.4	GALNT4	protein_coding	1	2	3	0.0137	0.0039	0.0039
ENSG00000257595.3	LINC02356	lncRNA	8	2	6	1.5814	0.4539	0.4489
ENSG00000257596.1	SCAT2	lncRNA	11	5	6	1.1064	0.3176	0.3141
ENSG00000257599.3	OVCH1-AS1	lncRNA	35	16	20	0.3697	0.1061	0.1049
ENSG00000257603.1	AC010183.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257604.1	AC027288.2	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257605.2	MYG1-AS1	lncRNA	0	382	381	0.0000	0.0000	0.0000
ENSG00000257607.1	AC073957.2	lncRNA	0	159	156	0.0000	0.0000	0.0000
ENSG00000257609.1	AC091515.1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257611.1	AC010182.1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257612.2	MIR4307HG	lncRNA	7	4	3	0.1432	0.0411	0.0406
ENSG00000257614.1	AL133304.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257616.1	AC055716.2	processed_pseudogene	6	3	4	0.1817	0.0522	0.0516
ENSG00000257621.8	PSMA3-AS1	lncRNA	1441	773	678	14.3786	4.1269	4.0818
ENSG00000257622.1	AL512356.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
ENSG00000257624.1	AC004024.1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257629.1	AC006199.1	processed_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000257634.1	AC079310.1	lncRNA	0	0	0	0.0000	0.0000	0.0000
